"table","column","enrich_build_order","enrich_rule"
"EC","ETCD",30,"sdtme_std_etcd_v$$"
"EC","VISIT",50,"sdtme_std_visit_v$$"
"EC","VISITDY",60,"sdtme_std_visitdy_v$$"
"EG","EGBLFL",20,"sdtme_std_blfl_v$$"
"EG","EGDY",10,"sdtme_std_dy_v$$"
"EG","EGENDY",10,"sdtme_std_dy_v$$"
"EG","EGSTRESC",50,"sdtme_std_stres_v$$"
"EG","EGSTRESN",50,"sdtme_std_stres_v$$"
"EG","EGSTRESU",40,"sdtme_std_stresu_v$$"
"EG","ELEMENT",80,"sdtme_std_etcd_v$$"
"EG","EPOCH",70,"sdtme_std_epoch_v$$"
"EG","ETCD",80,"sdtme_std_etcd_v$$"
"EG","VISIT",30,"sdtme_std_visit_v$$"
"EG","VISITDY",60,"sdtme_std_visitdy_v$$"
"EX","DOMAIN",10,"sdtme_ex_all_v$$"
"FA","ELEMENT",90,"sdtme_std_etcd_v$$"
"FA","EPOCH",80,"sdtme_std_epoch_v$$"
"FA","ETCD",90,"sdtme_std_etcd_v$$"
"FA","FABLFL",20,"sdtme_std_blfl_v$$"
"FA","FADY",10,"sdtme_std_dy_v$$"
"FA","FAENDY",10,"sdtme_std_dy_v$$"
"FA","FAORNRHI",50,"sdtme_std_ornr_v$$"
"FA","FAORNRLO",50,"sdtme_std_ornr_v$$"
"FA","FASTNRHI",70,"sdtme_std_stres_v$$"
"FA","FASTNRLO",70,"sdtme_std_stres_v$$"
"FA","FASTRESC",70,"sdtme_std_stres_v$$"
"FA","FASTRESN",70,"sdtme_std_stres_v$$"
"FA","FASTRESU",60,"sdtme_std_stresu_v$$"
"FA","VISIT",30,"sdtme_std_visit_v$$"
"FA","VISITDY",40,"sdtme_std_visitdy_v$$"
"FAXB","ELEMENT",90,"sdtme_std_etcd_v$$"
"FAXB","EPOCH",80,"sdtme_std_epoch_v$$"
"FAXB","ETCD",90,"sdtme_std_etcd_v$$"
"FAXB","FABLFL",20,"sdtme_std_blfl_v$$"
"FAXB","FADY",10,"sdtme_std_dy_v$$"
"FAXB","FAENDY",10,"sdtme_std_dy_v$$"
"FAXB","FAORNRHI",50,"sdtme_std_ornr_v$$"
"FAXB","FAORNRLO",50,"sdtme_std_ornr_v$$"
"FAXB","FASTNRHI",70,"sdtme_std_stres_v$$"
"FAXB","FASTNRLO",70,"sdtme_std_stres_v$$"
"FAXB","FASTRESC",70,"sdtme_std_stres_v$$"
"FAXB","FASTRESN",70,"sdtme_std_stres_v$$"
"FAXB","FASTRESU",60,"sdtme_std_stresu_v$$"
"FAXB","VISIT",30,"sdtme_std_visit_v$$"
"FAXB","VISITDY",40,"sdtme_std_visitdy_v$$"
"FT","ELEMENT",100,"sdtme_std_etcd_v$$"
"FT","EPOCH",90,"sdtme_std_epoch_v$$"
"FT","ETCD",100,"sdtme_std_etcd_v$$"
"FT","FTBLFL",20,"sdtme_std_blfl_v$$"
"FT","FTDY",10,"sdtme_std_dy_v$$"
"FT","FTSTRESC",70,"sdtme_std_stres_v$$"
"FT","FTSTRESN",70,"sdtme_std_stres_v$$"
"FT","FTSTRESU",60,"sdtme_std_stresu_v$$"
"FT","VISIT",30,"sdtme_std_visit_v$$"
"FT","VISITDY",80,"sdtme_std_visitdy_v$$"
"HO","ELEMENT",30,"sdtme_std_etcd_v$$"
"HO","EPOCH",20,"sdtme_std_epoch_v$$"
"HO","ETCD",30,"sdtme_std_etcd_v$$"
"HO","HODY",10,"sdtme_std_dy_v$$"
"HO","HOENDY",10,"sdtme_std_dy_v$$"
"HO","HOSTDY",10,"sdtme_std_dy_v$$"
"IE","DOMAIN",5,"sdtme_ie_update_v$$"
"IE","ELEMENT",50,"sdtme_std_etcd_v$$"
"IE","EPOCH",40,"sdtme_std_epoch_v$$"
"IE","ETCD",50,"sdtme_std_etcd_v$$"
"IE","IEDY",10,"sdtme_std_dy_v$$"
"IE","IESTRESC",60,"sdtme_std_stres_v$$"
"IE","VISIT",20,"sdtme_std_visit_v$$"
"IE","VISITDY",30,"sdtme_std_visitdy_v$$"
"IS","ELEMENT",80,"sdtme_std_etcd_v$$"
"IS","EPOCH",70,"sdtme_std_epoch_v$$"
"IS","ETCD",80,"sdtme_std_etcd_v$$"
"IS","ISBLFL",20,"sdtme_std_blfl_v$$"
"IS","ISDY",10,"sdtme_std_dy_v$$"
"IS","ISSTRESC",60,"sdtme_std_stres_v$$"
"IS","ISSTRESN",60,"sdtme_std_stres_v$$"
"IS","ISSTRESU",50,"sdtme_std_stresu_v$$"
"IS","VISIT",30,"sdtme_std_visit_v$$"
"IS","VISITDY",40,"sdtme_std_visitdy_v$$"
"LB","ELEMENT",100,"sdtme_std_etcd_v$$"
"LB","EPOCH",90,"sdtme_std_epoch_v$$"
"LB","ETCD",100,"sdtme_std_etcd_v$$"
"LB","LBBLFL",20,"sdtme_std_blfl_v$$"
"LB","LBDY",10,"sdtme_std_dy_v$$"
"LB","LBENDY",10,"sdtme_std_dy_v$$"
"LB","LBNRIND",50,"sdtme_std_nrind_v$$"
"LB","LBORNRHI",40,"sdtme_std_ornr_v$$"
"LB","LBORNRLO",40,"sdtme_std_ornr_v$$"
"LB","LBSTNRHI",70,"sdtme_std_stres_v$$"
"LB","LBSTNRLO",70,"sdtme_std_stres_v$$"
"LB","LBSTRESC",70,"sdtme_std_stres_v$$"
"LB","LBSTRESN",70,"sdtme_std_stres_v$$"
"LB","LBSTRESU",60,"sdtme_std_stresu_v$$"
"LB","VISIT",30,"sdtme_std_visit_v$$"
"LB","VISITDY",80,"sdtme_std_visitdy_v$$"
"MB","ELEMENT",80,"sdtme_std_etcd_v$$"
"MB","EPOCH",70,"sdtme_std_epoch_v$$"
"MB","ETCD",80,"sdtme_std_etcd_v$$"
"MB","MBBLFL",20,"sdtme_std_blfl_v$$"
"MB","MBDY",10,"sdtme_std_dy_v$$"
"MB","MBSTRESC",60,"sdtme_std_stres_v$$"
"MB","MBSTRESN",60,"sdtme_std_stres_v$$"
"MB","MBSTRESU",50,"sdtme_std_stresu_v$$"
"MB","VISIT",30,"sdtme_std_visit_v$$"
"MB","VISITDY",40,"sdtme_std_visitdy_v$$"
"MH","ELEMENT",60,"sdtme_std_etcd_v$$"
"MH","EPOCH",50,"sdtme_std_epoch_v$$"
"MH","ETCD",60,"sdtme_std_etcd_v$$"
"MH","MHBDSYCD",40,"sdtme_std_cd_v$$"
"MH","MHBODSYS",40,"sdtme_std_cd_v$$"
"MH","MHDECOD",40,"sdtme_std_cd_v$$"
"MH","MHDY",10,"sdtme_std_dy_v$$"
"MH","MHENDY",10,"sdtme_std_dy_v$$"
"MH","MHHLGT",40,"sdtme_std_cd_v$$"
"MH","MHHLGTCD",40,"sdtme_std_cd_v$$"
"MH","MHHLT",40,"sdtme_std_cd_v$$"
"MH","MHHLTCD",40,"sdtme_std_cd_v$$"
"MH","MHLLT",40,"sdtme_std_cd_v$$"
"MH","MHLLTCD",40,"sdtme_std_cd_v$$"
"MH","MHPTCD",40,"sdtme_std_cd_v$$"
"MH","MHSOC",40,"sdtme_std_cd_v$$"
"MH","MHSOCCD",40,"sdtme_std_cd_v$$"
"MH","MHSTDY",10,"sdtme_std_dy_v$$"
"MH","VISIT",20,"sdtme_std_visit_v$$"
"MH","VISITDY",30,"sdtme_std_visitdy_v$$"
"MI","ELEMENT",80,"sdtme_std_etcd_v$$"
"MI","EPOCH",70,"sdtme_std_epoch_v$$"
"MI","ETCD",80,"sdtme_std_etcd_v$$"
"MI","MIBLFL",20,"sdtme_std_blfl_v$$"
"MI","MIDY",10,"sdtme_std_dy_v$$"
"MI","MISTRESC",60,"sdtme_std_stres_v$$"
"MI","MISTRESN",60,"sdtme_std_stres_v$$"
"MI","MISTRESU",50,"sdtme_std_stresu_v$$"
"MI","VISIT",30,"sdtme_std_visit_v$$"
"MI","VISITDY",40,"sdtme_std_visitdy_v$$"
"ML","ELEMENT",60,"sdtme_std_etcd_v$$"
"ML","EPOCH",50,"sdtme_std_epoch_v$$"
"ML","ETCD",60,"sdtme_std_etcd_v$$"
"ML","MLDY",10,"sdtme_std_dy_v$$"
"ML","MLENDY",10,"sdtme_std_dy_v$$"
"ML","MLSTDY",10,"sdtme_std_dy_v$$"
"ML","VISIT",30,"sdtme_std_visit_v$$"
"ML","VISITDY",40,"sdtme_std_visitdy_v$$"
"MO","ELEMENT",80,"sdtme_std_etcd_v$$"
"MO","EPOCH",70,"sdtme_std_epoch_v$$"
"MO","ETCD",80,"sdtme_std_etcd_v$$"
"MO","MOBLFL",20,"sdtme_std_blfl_v$$"
